{'epoch': 0, 'train_loss': 4.205640460968017, 'train_acc': 0.056175, 'valid_loss': 3.857526861190796, 'valid_acc': 0.1125}
{'epoch': 1, 'train_loss': 3.5335122955322267, 'train_acc': 0.146625, 'valid_loss': 3.3230255794525148, 'valid_acc': 0.1884}
{'epoch': 2, 'train_loss': 3.1351187797546385, 'train_acc': 0.2117, 'valid_loss': 3.0225162490844726, 'valid_acc': 0.2354}
{'epoch': 3, 'train_loss': 2.851241143035889, 'train_acc': 0.2655, 'valid_loss': 2.712773950576782, 'valid_acc': 0.3014}
{'epoch': 4, 'train_loss': 2.6164123443603517, 'train_acc': 0.316375, 'valid_loss': 2.583483145523071, 'valid_acc': 0.32880000000000004}
{'epoch': 5, 'train_loss': 2.4437300811767577, 'train_acc': 0.3518, 'valid_loss': 2.451776880264282, 'valid_acc': 0.36510000000000004}
{'epoch': 6, 'train_loss': 2.2987982063293457, 'train_acc': 0.383075, 'valid_loss': 2.260975566101074, 'valid_acc': 0.3971}
{'epoch': 7, 'train_loss': 2.1799927379608155, 'train_acc': 0.4092, 'valid_loss': 2.1471209659576416, 'valid_acc': 0.4162}
{'epoch': 8, 'train_loss': 2.078171240615845, 'train_acc': 0.4315, 'valid_loss': 2.187563216781616, 'valid_acc': 0.42100000000000004}
{'epoch': 9, 'train_loss': 1.981323081588745, 'train_acc': 0.451575, 'valid_loss': 2.118946703338623, 'valid_acc': 0.4329}
{'epoch': 10, 'train_loss': 1.902115559387207, 'train_acc': 0.472175, 'valid_loss': 2.102545884513855, 'valid_acc': 0.44020000000000004}
{'epoch': 11, 'train_loss': 1.8264334278106689, 'train_acc': 0.48995, 'valid_loss': 2.0544401525497435, 'valid_acc': 0.45370000000000005}
{'epoch': 12, 'train_loss': 1.757457336807251, 'train_acc': 0.506225, 'valid_loss': 1.9734605098724365, 'valid_acc': 0.47100000000000003}
{'epoch': 13, 'train_loss': 1.7056523777008057, 'train_acc': 0.5180250000000001, 'valid_loss': 1.9026689651489257, 'valid_acc': 0.48760000000000003}
{'epoch': 14, 'train_loss': 1.6324696128845215, 'train_acc': 0.53655, 'valid_loss': 1.920568832397461, 'valid_acc': 0.48350000000000004}
{'epoch': 15, 'train_loss': 1.584355099105835, 'train_acc': 0.545875, 'valid_loss': 1.8834848041534424, 'valid_acc': 0.49210000000000004}
{'epoch': 16, 'train_loss': 1.5280212985992432, 'train_acc': 0.5602, 'valid_loss': 1.926751132965088, 'valid_acc': 0.48810000000000003}
{'epoch': 17, 'train_loss': 1.4743074337005615, 'train_acc': 0.57665, 'valid_loss': 1.8792519870758058, 'valid_acc': 0.49570000000000003}
{'epoch': 18, 'train_loss': 1.4248932857513428, 'train_acc': 0.584975, 'valid_loss': 1.855587989616394, 'valid_acc': 0.5022}
{'epoch': 19, 'train_loss': 1.381926819229126, 'train_acc': 0.595225, 'valid_loss': 1.901277600288391, 'valid_acc': 0.49820000000000003}
{'epoch': 20, 'train_loss': 1.339623418045044, 'train_acc': 0.607575, 'valid_loss': 1.8226464153289794, 'valid_acc': 0.5185000000000001}
{'epoch': 21, 'train_loss': 1.2950462642669678, 'train_acc': 0.6167, 'valid_loss': 1.8682646293640137, 'valid_acc': 0.5063}
{'epoch': 22, 'train_loss': 1.2426718816757203, 'train_acc': 0.631225, 'valid_loss': 1.819689712524414, 'valid_acc': 0.5234}
{'epoch': 23, 'train_loss': 1.2032929857254029, 'train_acc': 0.6389, 'valid_loss': 1.8350877687454223, 'valid_acc': 0.5182}
{'epoch': 24, 'train_loss': 1.1620059394836426, 'train_acc': 0.6525000000000001, 'valid_loss': 1.8512955924987793, 'valid_acc': 0.5181}
{'epoch': 25, 'train_loss': 1.1261448825836182, 'train_acc': 0.663325, 'valid_loss': 1.8320216878890991, 'valid_acc': 0.5231}
{'epoch': 26, 'train_loss': 1.0878976545333863, 'train_acc': 0.669625, 'valid_loss': 1.857734365272522, 'valid_acc': 0.5255000000000001}
{'epoch': 27, 'train_loss': 1.0574283527374269, 'train_acc': 0.678025, 'valid_loss': 1.8884578948974609, 'valid_acc': 0.5202}
{'epoch': 28, 'train_loss': 1.0104490589141846, 'train_acc': 0.691825, 'valid_loss': 1.8491134384155274, 'valid_acc': 0.5333}
{'epoch': 29, 'train_loss': 0.9713241735458374, 'train_acc': 0.702925, 'valid_loss': 1.9077431564331055, 'valid_acc': 0.5226000000000001}
{'epoch': 30, 'train_loss': 0.946950140953064, 'train_acc': 0.711175, 'valid_loss': 1.8701388208389282, 'valid_acc': 0.5308}
{'epoch': 31, 'train_loss': 0.8931724977493286, 'train_acc': 0.7224, 'valid_loss': 1.8810056945800782, 'valid_acc': 0.5284}
{'epoch': 32, 'train_loss': 0.8710070407867432, 'train_acc': 0.73085, 'valid_loss': 1.921379125404358, 'valid_acc': 0.5316000000000001}
{'epoch': 33, 'train_loss': 0.8537636999130249, 'train_acc': 0.7347250000000001, 'valid_loss': 1.8773656211853027, 'valid_acc': 0.5404}
{'epoch': 34, 'train_loss': 0.8128623401641846, 'train_acc': 0.7448250000000001, 'valid_loss': 1.952872070503235, 'valid_acc': 0.5213}
{'epoch': 35, 'train_loss': 0.7762945622444153, 'train_acc': 0.7579, 'valid_loss': 1.9663006422042846, 'valid_acc': 0.5256000000000001}
{'epoch': 36, 'train_loss': 0.7454638408660889, 'train_acc': 0.765325, 'valid_loss': 1.961738815689087, 'valid_acc': 0.534}
{'epoch': 37, 'train_loss': 0.7157871806144714, 'train_acc': 0.77405, 'valid_loss': 1.9747824239730836, 'valid_acc': 0.5379}
{'epoch': 38, 'train_loss': 0.6968901958465576, 'train_acc': 0.7804500000000001, 'valid_loss': 1.9989224082946777, 'valid_acc': 0.5309}
{'epoch': 39, 'train_loss': 0.669416947555542, 'train_acc': 0.787, 'valid_loss': 2.061258755493164, 'valid_acc': 0.5202}
{'epoch': 40, 'train_loss': 0.6344234121322632, 'train_acc': 0.7971250000000001, 'valid_loss': 2.074438708305359, 'valid_acc': 0.5251}
{'epoch': 41, 'train_loss': 0.6135430865287781, 'train_acc': 0.80435, 'valid_loss': 2.0957346706390383, 'valid_acc': 0.533}
{'epoch': 42, 'train_loss': 0.5811569911956788, 'train_acc': 0.81535, 'valid_loss': 2.1066836326599123, 'valid_acc': 0.5321}
{'epoch': 43, 'train_loss': 0.5535101265907287, 'train_acc': 0.823775, 'valid_loss': 2.1288364305496215, 'valid_acc': 0.5298}
{'epoch': 44, 'train_loss': 0.5368880099773407, 'train_acc': 0.828725, 'valid_loss': 2.1888794441223145, 'valid_acc': 0.523}
{'epoch': 45, 'train_loss': 0.5166271736145019, 'train_acc': 0.8356, 'valid_loss': 2.1489919914245608, 'valid_acc': 0.5279}
{'epoch': 46, 'train_loss': 0.48051722526550295, 'train_acc': 0.8465750000000001, 'valid_loss': 2.1663798458099364, 'valid_acc': 0.534}
{'epoch': 47, 'train_loss': 0.4644748826980591, 'train_acc': 0.85165, 'valid_loss': 2.189988680076599, 'valid_acc': 0.5313}
{'epoch': 48, 'train_loss': 0.46471911606788635, 'train_acc': 0.8513000000000001, 'valid_loss': 2.2088104373931885, 'valid_acc': 0.5306000000000001}
{'epoch': 49, 'train_loss': 0.43153728556633, 'train_acc': 0.8615250000000001, 'valid_loss': 2.228509797859192, 'valid_acc': 0.527}
{'epoch': 50, 'train_loss': 0.4142331774711609, 'train_acc': 0.8668250000000001, 'valid_loss': 2.2424949039459228, 'valid_acc': 0.5383}
{'epoch': 51, 'train_loss': 0.4075640805721283, 'train_acc': 0.86685, 'valid_loss': 2.2032827392578125, 'valid_acc': 0.5273}
{'epoch': 52, 'train_loss': 0.3862907787799835, 'train_acc': 0.8749250000000001, 'valid_loss': 2.355288200378418, 'valid_acc': 0.5173}
{'epoch': 53, 'train_loss': 0.3782173169136047, 'train_acc': 0.87865, 'valid_loss': 2.2976618717193604, 'valid_acc': 0.5225000000000001}
{'epoch': 54, 'train_loss': 0.35827625403404234, 'train_acc': 0.88405, 'valid_loss': 2.263471579742432, 'valid_acc': 0.5294}
{'epoch': 55, 'train_loss': 0.3443959827899933, 'train_acc': 0.8894500000000001, 'valid_loss': 2.2347280742645266, 'valid_acc': 0.5417000000000001}
{'epoch': 56, 'train_loss': 0.33683208928108216, 'train_acc': 0.89075, 'valid_loss': 2.2980710662841797, 'valid_acc': 0.5278}
{'epoch': 57, 'train_loss': 0.3210695200920105, 'train_acc': 0.894725, 'valid_loss': 2.3888246311187746, 'valid_acc': 0.5186000000000001}
{'epoch': 58, 'train_loss': 0.2976430418014526, 'train_acc': 0.9056500000000001, 'valid_loss': 2.254383671951294, 'valid_acc': 0.5409}
{'epoch': 59, 'train_loss': 0.2789085228919983, 'train_acc': 0.9124, 'valid_loss': 2.334451444244385, 'valid_acc': 0.5289}
{'epoch': 60, 'train_loss': 0.28194571619033815, 'train_acc': 0.9102250000000001, 'valid_loss': 2.2060464389801027, 'valid_acc': 0.5525}
{'epoch': 61, 'train_loss': 0.2723490223407745, 'train_acc': 0.912475, 'valid_loss': 2.3544903743743895, 'valid_acc': 0.5246000000000001}
{'epoch': 62, 'train_loss': 0.2780898452281952, 'train_acc': 0.911, 'valid_loss': 2.382045503997803, 'valid_acc': 0.5259}
{'epoch': 63, 'train_loss': 0.2700000783205032, 'train_acc': 0.9138000000000001, 'valid_loss': 2.2663703536987305, 'valid_acc': 0.5478000000000001}
{'epoch': 64, 'train_loss': 0.25530445857048034, 'train_acc': 0.9181750000000001, 'valid_loss': 2.3159007423400877, 'valid_acc': 0.5278}
{'epoch': 65, 'train_loss': 0.24360968296527863, 'train_acc': 0.924625, 'valid_loss': 2.39766295337677, 'valid_acc': 0.5326000000000001}
{'epoch': 66, 'train_loss': 0.21775787897109986, 'train_acc': 0.9335, 'valid_loss': 2.310145341873169, 'valid_acc': 0.539}
{'epoch': 67, 'train_loss': 0.21934131102561952, 'train_acc': 0.9318000000000001, 'valid_loss': 2.3315370357513427, 'valid_acc': 0.5384}
{'epoch': 68, 'train_loss': 0.2182207150697708, 'train_acc': 0.9311750000000001, 'valid_loss': 2.3507190719604494, 'valid_acc': 0.5424}
{'epoch': 69, 'train_loss': 0.22600853068828583, 'train_acc': 0.928625, 'valid_loss': 2.3363483097076414, 'valid_acc': 0.5385}
{'epoch': 70, 'train_loss': 0.20939517867565155, 'train_acc': 0.9358000000000001, 'valid_loss': 2.375062427902222, 'valid_acc': 0.5378000000000001}
{'epoch': 71, 'train_loss': 0.19196638758182524, 'train_acc': 0.9413750000000001, 'valid_loss': 2.417343850326538, 'valid_acc': 0.5305}
{'epoch': 72, 'train_loss': 0.1807676513671875, 'train_acc': 0.9457500000000001, 'valid_loss': 2.346315553665161, 'valid_acc': 0.5392}
{'epoch': 73, 'train_loss': 0.18494393422603608, 'train_acc': 0.9444, 'valid_loss': 2.4692751289367676, 'valid_acc': 0.5285000000000001}
{'epoch': 74, 'train_loss': 0.19203197231292723, 'train_acc': 0.9413250000000001, 'valid_loss': 2.3541573280334473, 'valid_acc': 0.543}
{'epoch': 75, 'train_loss': 0.18452267482280732, 'train_acc': 0.94315, 'valid_loss': 2.3246217304229737, 'valid_acc': 0.5468000000000001}
{'epoch': 76, 'train_loss': 0.17441830472946168, 'train_acc': 0.9482, 'valid_loss': 2.3873380039215086, 'valid_acc': 0.5383}
{'epoch': 77, 'train_loss': 0.17893588786125184, 'train_acc': 0.94525, 'valid_loss': 2.350018900299072, 'valid_acc': 0.5428000000000001}
{'epoch': 78, 'train_loss': 0.18560882666110992, 'train_acc': 0.942725, 'valid_loss': 2.488696685409546, 'valid_acc': 0.5302}
{'epoch': 79, 'train_loss': 0.18348855867385863, 'train_acc': 0.9441750000000001, 'valid_loss': 2.350638599395752, 'valid_acc': 0.5364}
{'epoch': 80, 'train_loss': 0.1628116674900055, 'train_acc': 0.9515, 'valid_loss': 2.3887343860626222, 'valid_acc': 0.5449}
{'epoch': 81, 'train_loss': 0.16553657442331315, 'train_acc': 0.949725, 'valid_loss': 2.4132778215408326, 'valid_acc': 0.5419}
