{'epoch': 0, 'train_loss': 4.146556463623047, 'train_acc': 0.062175, 'valid_loss': 3.8537533267974853, 'valid_acc': 0.1042}
{'epoch': 1, 'train_loss': 3.644233236694336, 'train_acc': 0.12665, 'valid_loss': 3.47977890625, 'valid_acc': 0.15560000000000002}
{'epoch': 2, 'train_loss': 3.3588453605651853, 'train_acc': 0.1771, 'valid_loss': 3.2114420917510986, 'valid_acc': 0.1988}
{'epoch': 3, 'train_loss': 3.1299051261901853, 'train_acc': 0.2179, 'valid_loss': 3.0887851333618164, 'valid_acc': 0.2381}
{'epoch': 4, 'train_loss': 2.921421863555908, 'train_acc': 0.258575, 'valid_loss': 2.9093268230438234, 'valid_acc': 0.2677}
{'epoch': 5, 'train_loss': 2.734285139465332, 'train_acc': 0.29215, 'valid_loss': 2.697513638305664, 'valid_acc': 0.309}
{'epoch': 6, 'train_loss': 2.5755359619140625, 'train_acc': 0.32937500000000003, 'valid_loss': 2.60033617477417, 'valid_acc': 0.32680000000000003}
{'epoch': 7, 'train_loss': 2.4342534774780273, 'train_acc': 0.35450000000000004, 'valid_loss': 2.5258792491912843, 'valid_acc': 0.3486}
{'epoch': 8, 'train_loss': 2.302314093399048, 'train_acc': 0.382875, 'valid_loss': 2.5358396839141846, 'valid_acc': 0.3541}
{'epoch': 9, 'train_loss': 2.1784602668762205, 'train_acc': 0.4103, 'valid_loss': 2.337555641937256, 'valid_acc': 0.38970000000000005}
{'epoch': 10, 'train_loss': 2.068735048675537, 'train_acc': 0.4349, 'valid_loss': 2.338442836380005, 'valid_acc': 0.3905}
{'epoch': 11, 'train_loss': 1.9732417907714843, 'train_acc': 0.45335000000000003, 'valid_loss': 2.2168258602142332, 'valid_acc': 0.4193}
{'epoch': 12, 'train_loss': 1.8815101303100585, 'train_acc': 0.475075, 'valid_loss': 2.161842802429199, 'valid_acc': 0.435}
{'epoch': 13, 'train_loss': 1.7994490234375, 'train_acc': 0.494725, 'valid_loss': 2.058446073150635, 'valid_acc': 0.45130000000000003}
{'epoch': 14, 'train_loss': 1.7190799839019775, 'train_acc': 0.5144500000000001, 'valid_loss': 2.127151228713989, 'valid_acc': 0.443}
{'epoch': 15, 'train_loss': 1.647368292617798, 'train_acc': 0.532875, 'valid_loss': 2.0850631523132326, 'valid_acc': 0.45570000000000005}
{'epoch': 16, 'train_loss': 1.565065618133545, 'train_acc': 0.55125, 'valid_loss': 1.9647747266769409, 'valid_acc': 0.4837}
{'epoch': 17, 'train_loss': 1.50637502784729, 'train_acc': 0.56535, 'valid_loss': 1.9810994926452636, 'valid_acc': 0.4761}
{'epoch': 18, 'train_loss': 1.4447440776824951, 'train_acc': 0.578125, 'valid_loss': 2.0434748908996583, 'valid_acc': 0.46790000000000004}
{'epoch': 19, 'train_loss': 1.3726814014434814, 'train_acc': 0.597425, 'valid_loss': 1.9618680204391479, 'valid_acc': 0.49620000000000003}
{'epoch': 20, 'train_loss': 1.320502879524231, 'train_acc': 0.60965, 'valid_loss': 1.9393552856445313, 'valid_acc': 0.5071}
{'epoch': 21, 'train_loss': 1.2756116941452027, 'train_acc': 0.618175, 'valid_loss': 2.0042017570495605, 'valid_acc': 0.4853}
{'epoch': 22, 'train_loss': 1.2209713676452636, 'train_acc': 0.633625, 'valid_loss': 2.094197925567627, 'valid_acc': 0.4837}
{'epoch': 23, 'train_loss': 1.172263120651245, 'train_acc': 0.6454000000000001, 'valid_loss': 1.9233857330322266, 'valid_acc': 0.5137}
{'epoch': 24, 'train_loss': 1.1199218076705932, 'train_acc': 0.659725, 'valid_loss': 2.1095940097808836, 'valid_acc': 0.48550000000000004}
{'epoch': 25, 'train_loss': 1.078173787498474, 'train_acc': 0.671025, 'valid_loss': 1.9406676971435546, 'valid_acc': 0.5207}
{'epoch': 26, 'train_loss': 1.0294301202774048, 'train_acc': 0.6839000000000001, 'valid_loss': 1.9449548767089844, 'valid_acc': 0.5159}
{'epoch': 27, 'train_loss': 0.9752590061187744, 'train_acc': 0.700225, 'valid_loss': 2.046858987426758, 'valid_acc': 0.5097}
{'epoch': 28, 'train_loss': 0.9322554656982421, 'train_acc': 0.70985, 'valid_loss': 2.0408587900161743, 'valid_acc': 0.5083}
{'epoch': 29, 'train_loss': 0.8857222393035888, 'train_acc': 0.7224, 'valid_loss': 2.0038890800476072, 'valid_acc': 0.531}
{'epoch': 30, 'train_loss': 0.8467004991531372, 'train_acc': 0.73295, 'valid_loss': 2.0347046663284303, 'valid_acc': 0.5238}
{'epoch': 31, 'train_loss': 0.7925373226165772, 'train_acc': 0.7475, 'valid_loss': 2.140400379562378, 'valid_acc': 0.5077}
{'epoch': 32, 'train_loss': 0.754173700428009, 'train_acc': 0.7593000000000001, 'valid_loss': 2.1926595092773438, 'valid_acc': 0.509}
{'epoch': 33, 'train_loss': 0.716960163116455, 'train_acc': 0.76975, 'valid_loss': 2.175737698364258, 'valid_acc': 0.5214}
{'epoch': 34, 'train_loss': 0.6675669661521911, 'train_acc': 0.7855000000000001, 'valid_loss': 2.1807576360702514, 'valid_acc': 0.5125000000000001}
{'epoch': 35, 'train_loss': 0.6193092544555664, 'train_acc': 0.800525, 'valid_loss': 2.2339494312286376, 'valid_acc': 0.525}
{'epoch': 36, 'train_loss': 0.59640962600708, 'train_acc': 0.8053750000000001, 'valid_loss': 2.343009553527832, 'valid_acc': 0.5128}
{'epoch': 37, 'train_loss': 0.566460193347931, 'train_acc': 0.816675, 'valid_loss': 2.2050903972625733, 'valid_acc': 0.5306000000000001}
{'epoch': 38, 'train_loss': 0.5158850870132446, 'train_acc': 0.8306250000000001, 'valid_loss': 2.238321362686157, 'valid_acc': 0.5373}
{'epoch': 39, 'train_loss': 0.5010148739814758, 'train_acc': 0.8368, 'valid_loss': 2.279702782058716, 'valid_acc': 0.5381}
{'epoch': 40, 'train_loss': 0.4561573178768158, 'train_acc': 0.8495750000000001, 'valid_loss': 2.3865960857391357, 'valid_acc': 0.517}
{'epoch': 41, 'train_loss': 0.43822159299850466, 'train_acc': 0.856325, 'valid_loss': 2.3174108669281006, 'valid_acc': 0.5396000000000001}
{'epoch': 42, 'train_loss': 0.4232757859706879, 'train_acc': 0.859475, 'valid_loss': 2.357732339859009, 'valid_acc': 0.5344}
{'epoch': 43, 'train_loss': 0.38949810333251955, 'train_acc': 0.870075, 'valid_loss': 2.3483196346282957, 'valid_acc': 0.5369}
{'epoch': 44, 'train_loss': 0.3635738097667694, 'train_acc': 0.8799250000000001, 'valid_loss': 2.3742510311126708, 'valid_acc': 0.5328}
{'epoch': 45, 'train_loss': 0.32546518869400026, 'train_acc': 0.8928750000000001, 'valid_loss': 2.462168930053711, 'valid_acc': 0.5299}
{'epoch': 46, 'train_loss': 0.330754962682724, 'train_acc': 0.887125, 'valid_loss': 2.4158713161468506, 'valid_acc': 0.5386000000000001}
{'epoch': 47, 'train_loss': 0.29799464626312255, 'train_acc': 0.901525, 'valid_loss': 2.4700930530548098, 'valid_acc': 0.5433}
{'epoch': 48, 'train_loss': 0.2878558095932007, 'train_acc': 0.9048, 'valid_loss': 2.4510393871307374, 'valid_acc': 0.5444}
{'epoch': 49, 'train_loss': 0.2682118413925171, 'train_acc': 0.909325, 'valid_loss': 2.589737635421753, 'valid_acc': 0.5341}
{'epoch': 50, 'train_loss': 0.25276803307533263, 'train_acc': 0.9162, 'valid_loss': 2.5264282905578614, 'valid_acc': 0.5428000000000001}
{'epoch': 51, 'train_loss': 0.24464192798137666, 'train_acc': 0.91825, 'valid_loss': 2.5789627227783205, 'valid_acc': 0.5422}
{'epoch': 52, 'train_loss': 0.21865757105350495, 'train_acc': 0.926425, 'valid_loss': 2.612975526428223, 'valid_acc': 0.5398000000000001}
