{'epoch': 0, 'train_loss': 4.115526873016357, 'train_acc': 0.06797500000000001, 'valid_loss': 3.776323468017578, 'valid_acc': 0.1023}
{'epoch': 1, 'train_loss': 3.603116051483154, 'train_acc': 0.13395, 'valid_loss': 3.419795104598999, 'valid_acc': 0.16820000000000002}
{'epoch': 2, 'train_loss': 3.3243906814575195, 'train_acc': 0.185625, 'valid_loss': 3.193665036392212, 'valid_acc': 0.20670000000000002}
{'epoch': 3, 'train_loss': 3.1033857307434083, 'train_acc': 0.222775, 'valid_loss': 3.0698239742279054, 'valid_acc': 0.23470000000000002}
{'epoch': 4, 'train_loss': 2.9004585121154784, 'train_acc': 0.262175, 'valid_loss': 2.8205423831939695, 'valid_acc': 0.2777}
{'epoch': 5, 'train_loss': 2.7148709823608397, 'train_acc': 0.295325, 'valid_loss': 2.762357963180542, 'valid_acc': 0.2984}
{'epoch': 6, 'train_loss': 2.5464511688232423, 'train_acc': 0.329125, 'valid_loss': 2.5581212577819823, 'valid_acc': 0.3351}
{'epoch': 7, 'train_loss': 2.407273426818848, 'train_acc': 0.35955000000000004, 'valid_loss': 2.477817910003662, 'valid_acc': 0.35960000000000003}
{'epoch': 8, 'train_loss': 2.26650419921875, 'train_acc': 0.390125, 'valid_loss': 2.3911965538024904, 'valid_acc': 0.374}
{'epoch': 9, 'train_loss': 2.157380783843994, 'train_acc': 0.41202500000000003, 'valid_loss': 2.306126107788086, 'valid_acc': 0.3982}
{'epoch': 10, 'train_loss': 2.0475874584198, 'train_acc': 0.437325, 'valid_loss': 2.250764715576172, 'valid_acc': 0.40850000000000003}
{'epoch': 11, 'train_loss': 1.9544500106811524, 'train_acc': 0.46005, 'valid_loss': 2.167850426864624, 'valid_acc': 0.42210000000000003}
{'epoch': 12, 'train_loss': 1.86540285987854, 'train_acc': 0.47647500000000004, 'valid_loss': 2.100198931121826, 'valid_acc': 0.449}
{'epoch': 13, 'train_loss': 1.7859547096252442, 'train_acc': 0.498975, 'valid_loss': 2.0701031925201416, 'valid_acc': 0.451}
{'epoch': 14, 'train_loss': 1.7070467178344726, 'train_acc': 0.517325, 'valid_loss': 2.021264531517029, 'valid_acc': 0.4602}
{'epoch': 15, 'train_loss': 1.6252904556274415, 'train_acc': 0.5347500000000001, 'valid_loss': 2.1783540927886964, 'valid_acc': 0.45280000000000004}
{'epoch': 16, 'train_loss': 1.5627485637664795, 'train_acc': 0.5525, 'valid_loss': 1.973433892440796, 'valid_acc': 0.4813}
{'epoch': 17, 'train_loss': 1.5004097988128662, 'train_acc': 0.5648000000000001, 'valid_loss': 1.9163246669769287, 'valid_acc': 0.4924}
{'epoch': 18, 'train_loss': 1.4277352672576904, 'train_acc': 0.582975, 'valid_loss': 1.951368854522705, 'valid_acc': 0.4879}
{'epoch': 19, 'train_loss': 1.3778720321655273, 'train_acc': 0.5931000000000001, 'valid_loss': 1.8778512968063354, 'valid_acc': 0.5053}
{'epoch': 20, 'train_loss': 1.3211324083328246, 'train_acc': 0.6086250000000001, 'valid_loss': 1.9243948923110963, 'valid_acc': 0.5023}
{'epoch': 21, 'train_loss': 1.2705860567092895, 'train_acc': 0.623475, 'valid_loss': 1.9275765298843384, 'valid_acc': 0.5052}
{'epoch': 22, 'train_loss': 1.2090960586547852, 'train_acc': 0.637575, 'valid_loss': 1.9675569995880127, 'valid_acc': 0.4994}
{'epoch': 23, 'train_loss': 1.1747377258300782, 'train_acc': 0.6460750000000001, 'valid_loss': 1.8841031724929809, 'valid_acc': 0.5193}
{'epoch': 24, 'train_loss': 1.121073217201233, 'train_acc': 0.661375, 'valid_loss': 1.9329448356628418, 'valid_acc': 0.5131}
{'epoch': 25, 'train_loss': 1.0750950813293456, 'train_acc': 0.67205, 'valid_loss': 1.8808670448303222, 'valid_acc': 0.5235000000000001}
{'epoch': 26, 'train_loss': 1.0200973735809327, 'train_acc': 0.6853, 'valid_loss': 1.9011017723083496, 'valid_acc': 0.5244}
{'epoch': 27, 'train_loss': 0.9857570756912232, 'train_acc': 0.6963250000000001, 'valid_loss': 1.9355700317382813, 'valid_acc': 0.5192}
{'epoch': 28, 'train_loss': 0.9355434635162353, 'train_acc': 0.70765, 'valid_loss': 2.036827876663208, 'valid_acc': 0.5155000000000001}
{'epoch': 29, 'train_loss': 0.8851792989730835, 'train_acc': 0.7192500000000001, 'valid_loss': 2.0020664428710937, 'valid_acc': 0.527}
{'epoch': 30, 'train_loss': 0.8566834885597229, 'train_acc': 0.731, 'valid_loss': 1.9822936878204345, 'valid_acc': 0.5249}
{'epoch': 31, 'train_loss': 0.8035269317626953, 'train_acc': 0.7447250000000001, 'valid_loss': 2.114502479171753, 'valid_acc': 0.5047}
{'epoch': 32, 'train_loss': 0.7709500226020813, 'train_acc': 0.75495, 'valid_loss': 2.0714996711730955, 'valid_acc': 0.5237}
{'epoch': 33, 'train_loss': 0.7228020569801331, 'train_acc': 0.7687, 'valid_loss': 2.0612837604522705, 'valid_acc': 0.5329}
{'epoch': 34, 'train_loss': 0.6864523640632629, 'train_acc': 0.7772, 'valid_loss': 2.1059612884521486, 'valid_acc': 0.5318}
{'epoch': 35, 'train_loss': 0.6404034349441529, 'train_acc': 0.7921, 'valid_loss': 2.1383385452270507, 'valid_acc': 0.538}
{'epoch': 36, 'train_loss': 0.6041513299942016, 'train_acc': 0.80445, 'valid_loss': 2.2287894737243654, 'valid_acc': 0.5197}
{'epoch': 37, 'train_loss': 0.5731708201408386, 'train_acc': 0.8139000000000001, 'valid_loss': 2.2190454174041747, 'valid_acc': 0.5301}
{'epoch': 38, 'train_loss': 0.5398276835441589, 'train_acc': 0.8218000000000001, 'valid_loss': 2.196307546615601, 'valid_acc': 0.5369}
{'epoch': 39, 'train_loss': 0.5113867438316345, 'train_acc': 0.830025, 'valid_loss': 2.248943786239624, 'valid_acc': 0.5284}
{'epoch': 40, 'train_loss': 0.4676548138141632, 'train_acc': 0.84565, 'valid_loss': 2.2765880699157717, 'valid_acc': 0.5261}
{'epoch': 41, 'train_loss': 0.4460436727523804, 'train_acc': 0.853225, 'valid_loss': 2.2516001251220703, 'valid_acc': 0.5454}
{'epoch': 42, 'train_loss': 0.4164299426555634, 'train_acc': 0.8597750000000001, 'valid_loss': 2.3230877342224123, 'valid_acc': 0.5365}
{'epoch': 43, 'train_loss': 0.39779888954162596, 'train_acc': 0.8682500000000001, 'valid_loss': 2.310260019683838, 'valid_acc': 0.5406000000000001}
