{'epoch': 0, 'train_loss': 4.1254804275512695, 'train_acc': 0.06682500000000001, 'valid_loss': 3.769636009216309, 'valid_acc': 0.1052}
{'epoch': 1, 'train_loss': 3.622945726776123, 'train_acc': 0.13145, 'valid_loss': 3.5251752159118652, 'valid_acc': 0.1505}
{'epoch': 2, 'train_loss': 3.3716941146850585, 'train_acc': 0.17627500000000002, 'valid_loss': 4.725180753326416, 'valid_acc': 0.1022}
{'epoch': 3, 'train_loss': 3.1784620147705076, 'train_acc': 0.20797500000000002, 'valid_loss': 3.126354538726807, 'valid_acc': 0.2209}
{'epoch': 4, 'train_loss': 2.962617514038086, 'train_acc': 0.25015000000000004, 'valid_loss': 2.950521399307251, 'valid_acc': 0.2564}
{'epoch': 5, 'train_loss': 2.7727839805603027, 'train_acc': 0.28415, 'valid_loss': 2.750471566772461, 'valid_acc': 0.3038}
{'epoch': 6, 'train_loss': 2.5930129188537596, 'train_acc': 0.319925, 'valid_loss': 2.5327241386413575, 'valid_acc': 0.33630000000000004}
{'epoch': 7, 'train_loss': 2.430155298614502, 'train_acc': 0.35505000000000003, 'valid_loss': 2.4429740100860595, 'valid_acc': 0.3638}
{'epoch': 8, 'train_loss': 2.290856435775757, 'train_acc': 0.384525, 'valid_loss': 2.335082167434692, 'valid_acc': 0.3809}
{'epoch': 9, 'train_loss': 2.18964083480835, 'train_acc': 0.408075, 'valid_loss': 2.3256284563064575, 'valid_acc': 0.3779}
{'epoch': 10, 'train_loss': 2.0906848194122314, 'train_acc': 0.42907500000000004, 'valid_loss': 2.184095076560974, 'valid_acc': 0.4138}
{'epoch': 11, 'train_loss': 2.011146979904175, 'train_acc': 0.44695, 'valid_loss': 2.168181367492676, 'valid_acc': 0.4153}
{'epoch': 12, 'train_loss': 1.9394638343811035, 'train_acc': 0.464125, 'valid_loss': 2.0755024055480957, 'valid_acc': 0.44670000000000004}
{'epoch': 13, 'train_loss': 1.8859255023956298, 'train_acc': 0.4758, 'valid_loss': 2.1530422552108766, 'valid_acc': 0.42360000000000003}
{'epoch': 14, 'train_loss': 1.826841940689087, 'train_acc': 0.49325, 'valid_loss': 2.1171732837677, 'valid_acc': 0.4319}
{'epoch': 15, 'train_loss': 1.7792105827331544, 'train_acc': 0.50155, 'valid_loss': 2.0247921466827394, 'valid_acc': 0.45630000000000004}
{'epoch': 16, 'train_loss': 1.7430832332611084, 'train_acc': 0.5124500000000001, 'valid_loss': 2.0900074733734133, 'valid_acc': 0.44830000000000003}
{'epoch': 17, 'train_loss': 1.7061965229034424, 'train_acc': 0.5183, 'valid_loss': 1.9892947732925415, 'valid_acc': 0.4651}
{'epoch': 18, 'train_loss': 1.6730276176452636, 'train_acc': 0.527275, 'valid_loss': 2.0167733322143553, 'valid_acc': 0.4632}
{'epoch': 19, 'train_loss': 1.6483306732177734, 'train_acc': 0.5357500000000001, 'valid_loss': 2.050569059371948, 'valid_acc': 0.46290000000000003}
{'epoch': 20, 'train_loss': 1.612434704208374, 'train_acc': 0.5417500000000001, 'valid_loss': 1.9859397493362427, 'valid_acc': 0.47450000000000003}
{'epoch': 21, 'train_loss': 1.593928498840332, 'train_acc': 0.5457000000000001, 'valid_loss': 2.0954406465530395, 'valid_acc': 0.44670000000000004}
{'epoch': 22, 'train_loss': 1.5777717071533204, 'train_acc': 0.549975, 'valid_loss': 2.038705375289917, 'valid_acc': 0.4666}
{'epoch': 23, 'train_loss': 1.5561044204711914, 'train_acc': 0.556925, 'valid_loss': 1.8960388776779176, 'valid_acc': 0.49150000000000005}
{'epoch': 24, 'train_loss': 1.54051300239563, 'train_acc': 0.562225, 'valid_loss': 1.8936608976364135, 'valid_acc': 0.48660000000000003}
{'epoch': 25, 'train_loss': 1.5225721260070801, 'train_acc': 0.56415, 'valid_loss': 2.0162021476745604, 'valid_acc': 0.46690000000000004}
{'epoch': 26, 'train_loss': 1.4941169063568116, 'train_acc': 0.5725750000000001, 'valid_loss': 1.9329775049209594, 'valid_acc': 0.4793}
{'epoch': 27, 'train_loss': 1.4848624649047852, 'train_acc': 0.5733750000000001, 'valid_loss': 1.9449990390777587, 'valid_acc': 0.4808}
{'epoch': 28, 'train_loss': 1.4702835796356202, 'train_acc': 0.5760500000000001, 'valid_loss': 1.8933013334274291, 'valid_acc': 0.49520000000000003}
{'epoch': 29, 'train_loss': 1.4472115032196045, 'train_acc': 0.58155, 'valid_loss': 1.801524158668518, 'valid_acc': 0.5212}
{'epoch': 30, 'train_loss': 1.4442150764465331, 'train_acc': 0.5831500000000001, 'valid_loss': 1.840906540298462, 'valid_acc': 0.5042}
{'epoch': 31, 'train_loss': 1.4247875343322753, 'train_acc': 0.58485, 'valid_loss': 1.8847902923583983, 'valid_acc': 0.497}
{'epoch': 32, 'train_loss': 1.4221066951751709, 'train_acc': 0.590875, 'valid_loss': 1.7538025285720824, 'valid_acc': 0.5241}
{'epoch': 33, 'train_loss': 1.3963225788116456, 'train_acc': 0.59455, 'valid_loss': 1.7815162467956542, 'valid_acc': 0.5134000000000001}
{'epoch': 34, 'train_loss': 1.3901044303894043, 'train_acc': 0.5970500000000001, 'valid_loss': 2.0009024921417238, 'valid_acc': 0.48960000000000004}
{'epoch': 35, 'train_loss': 1.361854962348938, 'train_acc': 0.6057750000000001, 'valid_loss': 1.881576180267334, 'valid_acc': 0.5047}
{'epoch': 36, 'train_loss': 1.3683697998046875, 'train_acc': 0.603925, 'valid_loss': 1.8742882717132567, 'valid_acc': 0.49620000000000003}
{'epoch': 37, 'train_loss': 1.356082059288025, 'train_acc': 0.6047250000000001, 'valid_loss': 1.7906953638076781, 'valid_acc': 0.522}
{'epoch': 38, 'train_loss': 1.3417015024185182, 'train_acc': 0.611225, 'valid_loss': 1.8619775230407716, 'valid_acc': 0.5073}
{'epoch': 39, 'train_loss': 1.3370360904693603, 'train_acc': 0.611025, 'valid_loss': 1.85861821269989, 'valid_acc': 0.503}
{'epoch': 40, 'train_loss': 1.3239913986206056, 'train_acc': 0.6127250000000001, 'valid_loss': 1.8008867279052734, 'valid_acc': 0.5217}
{'epoch': 41, 'train_loss': 1.3115390649795533, 'train_acc': 0.61475, 'valid_loss': 1.8185520296096802, 'valid_acc': 0.5107}
{'epoch': 42, 'train_loss': 1.3093361783981323, 'train_acc': 0.613175, 'valid_loss': 1.9236598220825196, 'valid_acc': 0.5025000000000001}
{'epoch': 43, 'train_loss': 1.287434250831604, 'train_acc': 0.6229, 'valid_loss': 1.7923883665084839, 'valid_acc': 0.5213}
{'epoch': 44, 'train_loss': 1.2833085315704347, 'train_acc': 0.6236, 'valid_loss': 1.8344417451858521, 'valid_acc': 0.5107}
{'epoch': 45, 'train_loss': 1.2765788726806642, 'train_acc': 0.6249250000000001, 'valid_loss': 1.8754587732315064, 'valid_acc': 0.5046}
{'epoch': 46, 'train_loss': 1.258982548713684, 'train_acc': 0.62925, 'valid_loss': 1.8416887002944946, 'valid_acc': 0.5122}
{'epoch': 47, 'train_loss': 1.2636601345062255, 'train_acc': 0.629575, 'valid_loss': 1.7911542562484741, 'valid_acc': 0.519}
{'epoch': 48, 'train_loss': 1.2481200300216675, 'train_acc': 0.634275, 'valid_loss': 1.8573055662155151, 'valid_acc': 0.516}
{'epoch': 49, 'train_loss': 1.23834109954834, 'train_acc': 0.635525, 'valid_loss': 1.8270838918685912, 'valid_acc': 0.5169}
{'epoch': 50, 'train_loss': 1.226697024154663, 'train_acc': 0.63675, 'valid_loss': 1.7703675676345825, 'valid_acc': 0.5325}
{'epoch': 51, 'train_loss': 1.2280960647583008, 'train_acc': 0.6392, 'valid_loss': 1.8238654960632323, 'valid_acc': 0.5078}
{'epoch': 52, 'train_loss': 1.2221104238510132, 'train_acc': 0.6379250000000001, 'valid_loss': 1.8104334058761598, 'valid_acc': 0.5244}
{'epoch': 53, 'train_loss': 1.2026155797958373, 'train_acc': 0.642325, 'valid_loss': 1.7123452182769776, 'valid_acc': 0.5414}
{'epoch': 54, 'train_loss': 1.2001292434692383, 'train_acc': 0.643, 'valid_loss': 1.7913195890426636, 'valid_acc': 0.531}
{'epoch': 55, 'train_loss': 1.201663356399536, 'train_acc': 0.645875, 'valid_loss': 1.9722616355895997, 'valid_acc': 0.49920000000000003}
{'epoch': 56, 'train_loss': 1.1819631269454955, 'train_acc': 0.6490250000000001, 'valid_loss': 1.7368205381393433, 'valid_acc': 0.5386000000000001}
{'epoch': 57, 'train_loss': 1.1941170356750488, 'train_acc': 0.647575, 'valid_loss': 1.7339829326629639, 'valid_acc': 0.5407000000000001}
{'epoch': 58, 'train_loss': 1.167702525138855, 'train_acc': 0.6526500000000001, 'valid_loss': 1.8164110643386842, 'valid_acc': 0.5285000000000001}
